file	bytes	malicious	suspicious	undetected	verdict
ameridan/2018_Connect_CMU_Software_Update_Procedure.pdf	778657	0	0	62	clean
ameridan/Fix_ver70_NNG.zip	33811815	0	0	57	clean
ameridan/RemoveNNG.zip	99594	0	0	64	clean
ameridan/StatusBar_Tweak.zip	84688	0	0	65	clean
ameridan/USB_Tweak.zip	83819	0	0	65	clean
ameridan/Uninstall_Animations_Tweak.zip	33683	0	0	64	clean
ameridan/Version_70_Abarth_Boot.zip	1479637	0	0	64	clean
ameridan/Version_70_Fiat_Boot.zip	1485535	0	0	64	clean
firmware/NA/cmu150_NA_59.00.502A_failsafe.up	7045747	0	0	62	clean
firmware/NA/cmu150_NA_59.00.545A_failsafe.up	7061576	0	0	62	clean
firmware/NA/cmu150_NA_70.00.021B_failsafe.up	7089899	0	0	62	clean
firmware/NA/cmu150_NA_70.00.367A_update.up	967219802	-	-	-	too-large-for-VT
firmware/NA/cmu150_NA_74.00.324A_update.up	1003179676	-	-	-	too-large-for-VT
firmware/NA/cmu150_NA_70.00.100A_reinstall.up	925592239	-	-	-	too-large-for-VT
tweaks/ID7_Recovery_XX.zip	117907	0	0	65	clean
guides/124Spider_CP_AA_Upgrade_Guide.zip	7807128	1	0	64	MALICIOUS
firmware/EU/cmu150_EU_70.00.100A_reinstall.up	2355206863	-	-	-	too-large-for-VT
firmware/ADR/cmu150_ADR_70.00.100A_reinstall.up	1917094531	-	-	-	too-large-for-VT
firmware/EU/FIAT_124_CarPlay_files_EU.zip	2409562234	-	-	-	too-large-for-VT
firmware/ADR/FIAT_124_CarPlay_files_ADR.zip	1971867943	-	-	-	too-large-for-VT
